statement,label
Praia is a name of a country.,0
Thimphu is a name of a city.,1
Burma is a name of a country.,1
Yaren is a name of a country.,0
Transnistria is a name of a country.,1
Port Vila is a city in Vanuatu,1
Honiara is a name of a city.,1
Addis Ababa is a city in Bermuda,0
Panama City is a name of a country.,0
Malé is a city in Djibouti,0
Tiraspol is a city in Brunei,0
Anguilla is a name of a city.,0
Tarawa is a city in Kiribati,1
Bishkek is a name of a city.,1
Northern Mariana Islands is a name of a country.,1
Taipei is a city in Malta,0
Mali is a name of a city.,0
North Korea is a name of a city.,0
Tórshavn is a city in Spain,0
Lilongwe is a city in Malawi,1
China is a name of a city.,0
Laos is a name of a country.,1
Comoros is a name of a city.,0
Episkopi Cantonment is a city in Panama,0
Afghanistan is a name of a country.,1
Lesotho is a name of a country.,1
Tskhinvali is a name of a country.,0
Rome is a name of a country.,0
The Valley is a city in Zimbabwe,0
Haiti is a name of a country.,1
Saint Kitts and Nevis is a name of a country.,1
Spain is a name of a country.,1
Sukhumi is a name of a city.,1
George Town is a name of a country.,0
Nicosia is a city in Sahrawi Arab Democratic Republic ,0
London is a city in Indonesia,0
Havana is a name of a city.,1
Austria is a name of a city.,0
Samoa is a name of a city.,0
Saipan is a city in Kosovo,0
China is a name of a country.,1
Sweden is a name of a city.,0
Guam is a name of a city.,0
Malabo is a name of a city.,1
Athens is a name of a country.,0
Mbabane is a city in Turks and Caicos Islands,0
N'Djamena is a city in Iceland,0
Malabo is a name of a country.,0
Mexico City is a name of a country.,0
Kathmandu is a city in Jersey,0
Mexico is a name of a country.,1
Trinidad and Tobago is a name of a country.,1
Lilongwe is a city in Saint Lucia,0
Roseau is a name of a city.,1
Baghdad is a name of a city.,1
Saipan is a name of a city.,1
Dushanbe is a name of a city.,1
Dodoma is a city in Democratic Republic of the Congo,0
Uzbekistan is a name of a country.,1
Castries is a name of a country.,0
Nuku?alofa is a city in Tonga,1
Kigali is a name of a country.,0
Spain is a name of a city.,0
San Salvador is a city in Slovenia,0
Ankara is a city in Luxembourg,0
Port Louis is a name of a city.,1
Monrovia is a city in Namibia,0
Bern is a name of a city.,1
Ashgabat is a city in Guernsey,0
Washington D.C. is a name of a city.,1
Uruguay is a name of a country.,1
Seoul is a city in South Korea,1
Jamaica is a name of a city.,0
Managua is a city in Armenia,0
Lima is a name of a city.,1
Uruguay is a name of a city.,0
Paramaribo is a name of a city.,1
Sarajevo is a city in Mauritius,0
Marshall Islands is a name of a city.,0
Kiribati is a name of a city.,0
Fiji is a name of a country.,1
Ivory Coast is a name of a country.,1
Yaoundé is a city in Cameroon,1
Armenia is a name of a country.,1
Belmopan is a name of a city.,1
South Georgia and the South Sandwich Islands is a name of a city.,0
Equatorial Guinea is a name of a country.,1
Reykjavík is a name of a country.,0
Dili is a name of a city.,1
Somalia is a name of a country.,1
Tunisia is a name of a city.,0
Vilnius is a name of a city.,1
Ulan Bator is a city in Mongolia,1
Budapest is a name of a city.,1
Tuvalu is a name of a country.,1
Singapore is a city in Singapore,1
Bogotá is a city in Bulgaria,0
Tonga is a name of a city.,0
Andorra is a name of a country.,1
Ankara is a name of a country.,0
Morocco is a name of a city.,0
Beirut is a name of a country.,0
Saipan is a city in Northern Mariana Islands,1
St. George's is a name of a country.,0
Guyana is a name of a country.,1
Brasília is a name of a country.,0
Podgorica is a city in Cuba,0
Serbia is a name of a country.,1
Montenegro is a name of a country.,1
Bangui is a city in Central African Republic,1
Botswana is a name of a country.,1
Nicosia is a name of a city.,1
Niger is a name of a city.,0
Naypyidaw is a name of a country.,0
Riyadh is a city in Saudi Arabia,1
Gibraltar is a name of a city.,1
Kenya is a name of a country.,1
Sint Maarten is a name of a city.,0
Lusaka is a name of a country.,0
Russia is a name of a city.,0
Mozambique is a name of a country.,1
United Arab Emirates is a name of a city.,0
Djibouti is a name of a city.,0
Canada is a name of a country.,1
Sri Jayawardenepura Kotte is a city in Sri Lanka,1
Israel is a name of a city.,0
Benin is a name of a country.,1
Belgrade is a name of a city.,1
Tunis is a city in Nepal,0
Ulan Bator is a name of a city.,1
Paris is a name of a country.,0
Lusaka is a name of a city.,1
Nouméa is a city in New Caledonia,1
Ulan Bator is a name of a country.,0
Kingston is a name of a city.,1
Bangkok is a city in Moldova,0
Georgetown is a city in Ascension Island,1
Lilongwe is a name of a city.,1
Tbilisi is a city in Georgia,1
Guinea-Bissau is a name of a country.,1
Hagåtña is a name of a country.,0
Solomon Islands is a name of a country.,1
Dili is a city in Italy,0
Oranjestad is a city in Aruba,1
Tristan da Cunha is a name of a city.,0
American Samoa is a name of a country.,1
Juba is a city in Albania,0
Dakar is a city in Senegal,1
Astana is a name of a country.,0
Minsk is a city in Mozambique,0
Slovenia is a name of a country.,1
Lesotho is a name of a city.,0
Mexico City is a city in Mexico,1
