statement,label
The Earth's atmosphere protects us from harmful radiation from the sun.,1
The Earth's atmosphere doesn't protect us from harmful radiation from the sun.,0
The largest flower in the world is the daisy.,0
The largest flower in the world isn't the daisy.,1
Cells are the complex units of life.,0
Cells aren't the complex units of life.,1
"The theory of evolution, proposed by Charles Darwin, states that species evolve over time through natural selection.",1
"The theory of evolution, proposed by Charles Darwin, doesn't state that species evolve over time through natural selection.",0
The smallest planet in our solar system is Mercury.,1
The smallest planet in our solar system isn't Mercury.,0
The moon orbits around the Earth.,1
The moon doesn't orbit around the Earth.,0
The fastest bird in the world is the penguin.,0
The fastest bird in the world isn't the penguin.,1
The fastest animal in the world is the sloth.,0
The fastest animal in the world isn't the sloth.,1
Fire needs oxygen to burn.,1
Fire doesn't need oxygen to burn.,0
The Statue of Liberty was a gift from France to the United States.,1
The Statue of Liberty wasn't a gift from France to the United States.,0
Comets are icy celestial objects that orbit the Sun.,1
Comets aren't icy celestial objects that orbit the Sun.,0
The coldest place on Earth is the equator.,0
The coldest place on Earth isn't the equator.,1
Light can exhibit both wave-like and particle-like properties.,1
Light can't exhibit both wave-like and particle-like properties.,0
Jupiter is mostly made of iron and oxygen.,0
Jupiter isn't mostly made of iron and oxygen.,1
The Earth avoids the Sun.,0
The Earth doesn't avoid the Sun.,1
Gravity is the force that repels objects with mass away from each other.,0
Gravity isn't the force that repels objects with mass away from each other.,1
The largest unit of life is the cell.,0
The largest unit of life isn't the cell.,1
Metamorphosis is a biological process in which an organism remains unchanged in form during its life cycle.,0
Metamorphosis isn't a biological process in which an organism remains unchanged in form during its life cycle.,1
Symbiosis is a close relationship between two species.,1
Symbiosis isn't a close relationship between two species.,0
Pizza is a type of food that many people enjoy.,1
Pizza isn't a type of food that many people enjoy.,0
Oxygen is harmful to human breathing.,0
Oxygen isn't harmful to human breathing.,1
Sharks are sea creatures that have a reputation for being dangerous.,1
Sharks aren't sea creatures that have a reputation for being dangerous.,0
The scientific method is a systematic process for investigating phenomena and acquiring new knowledge.,1
The scientific method isn't a systematic process for investigating phenomena and acquiring new knowledge.,0
Sharks are sea creatures that have a reputation for being friendly.,0
Sharks aren't sea creatures that have a reputation for being friendly.,1
Plate tectonics shape the Earth's surface.,1
Plate tectonics don't shape the Earth's surface.,0
