statement,label
Boron is used in the production of glass and ceramics.,1
"Praseodymium is used in coins, batteries, and corrosion-resistant alloys.",0
"Cobalt is used in strong, permanent magnets and as a blue pigment.",1
Indium is in the Lanthanide group.,0
Zirconium has the atomic number of 6.,0
Boron has the atomic number of 70.,0
Thallium appears in its standard state as Liquid.,0
Bromine is in the Halogen group.,1
Manganese appears in its standard state as Solid.,1
Palladium appears in its standard state as Solid.,1
Sulfur is used in the production of sulfuric acid and rubber vulcanization.,1
Scandium has the atomic number of 21.,1
Hydrogen is in the Actinide group.,0
Barium is used in touchscreens and some semiconductors.,0
Radon has the atomic number of 41.,0
Iron is the most abundant element on Earth by mass and is essential for blood oxygen transport.,1
Dysprosium appears in its standard state as Gas.,0
Magnesium is used in the production of glass and ceramics.,0
Thallium has the symbol Tl.,1
Barium has the symbol Sb.,0
Cadmium is used in rechargeable batteries and as a pigment.,1
Carbon appears in its standard state as Gas.,0
Tantalum has the atomic number of 79.,0
Dysprosium is a noble gas used in lighting and medical imaging.,0
Silver is used in catalytic converters and some electronic components.,0
Chlorine has the atomic number of 17.,1
Tantalum has the atomic number of 73.,1
Holmium is used in lasers and magnetic refrigeration.,1
Barium is in the Alkaline earth metal group.,1
Rhenium appears in its standard state as Gas.,0
Europium has the atomic number of 92.,0
"Rhenium is used in coins, batteries, and corrosion-resistant alloys.",0
Tantalum has the symbol Ta.,1
Gallium has the atomic number of 10.,0
Tantalum appears in its standard state as Gas.,0
Actinium has the atomic number of 89.,1
Scandium appears in its standard state as Solid.,1
Hafnium is in the Transition metal group.,1
Ytterbium appears in its standard state as Gas.,0
Terbium is used in green phosphors and lasers.,1
Astatine has the atomic number of 85.,1
Bromine is in the Noble gas group.,0
Rubidium has the atomic number of 37.,1
Beryllium has the symbol Be.,1
"Gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry.",1
Rubidium is in the Lanthanide group.,0
Antimony appears in its standard state as Liquid.,0
Carbon has the atomic number of 6.,1
Oxygen appears in its standard state as Gas.,1
Cerium appears in its standard state as Solid.,1
Cerium has the atomic number of 58.,1
Holmium has the atomic number of 92.,0
Helium is in the Noble gas group.,1
Gallium is a toxic element used in some semiconductors and infrared detectors.,0
Niobium appears in its standard state as Gas.,0
Phosphorus is used in catalytic converters and hydrogen storage.,0
Yttrium has the symbol U.,0
Sulfur is in the Nonmetal group.,1
Platinum is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.,0
Chromium appears in its standard state as Gas.,0
Terbium is in the Lanthanide group.,1
Rhodium appears in its standard state as Gas.,0
Zirconium appears in its standard state as Solid.,1
Gadolinium has the atomic number of 64.,1
Krypton has the symbol Kr.,1
Terbium appears in its standard state as Solid.,1
Iodine has the atomic number of 47.,0
Nitrogen is an essential component of proteins and DNA.,1
Sodium reacts violently with water and is essential for nerve function.,1
Potassium is in the Actinide group.,0
Holmium has the atomic number of 67.,1
Neon appears in its standard state as Gas.,1
Molybdenum has the symbol Np.,0
Strontium has the symbol Sn.,0
Phosphorus appears in its standard state as Solid.,1
Lanthanum appears in its standard state as Solid.,1
Gallium appears in its standard state as Solid.,1
Europium appears in its standard state as Gas.,0
Sodium is a highly radioactive alkali metal with no practical applications due to its instability.,0
Thulium is in the Lanthanide group.,1
Rubidium has the symbol Rb.,1
Silver is in the Post-transition metal group.,0
Indium is used in touchscreens and some semiconductors.,1
Holmium is in the Lanthanide group.,1
Chlorine is used as a disinfectant and in the production of PVC.,1
Cesium is used in atomic clocks and as a catalyst.,1
Aluminum appears in its standard state as Gas.,0
Terbium is in the Alkali metal group.,0
Lead has the atomic number of 82.,1
Hydrogen has the atomic number of 1.,1
Titanium has the symbol Ti.,1
Cesium has the atomic number of 55.,1
Strontium has the symbol Sr.,1
Strontium is used in neon signs and produces a distinct reddish-orange glow.,0
Mercury has the symbol Cl.,0
"Nickel is used in magnets, lasers, and neutron capture.",0
Astatine is a highly reactive alkali metal used in atomic clocks.,0
Lanthanum has the atomic number of 57.,1
Sodium is in the Post-transition metal group.,0
Xenon has the symbol Xe.,1
Francium has the atomic number of 87.,1
Uranium has the symbol Re.,0
Erbium has the atomic number of 68.,1
Gallium appears in its standard state as Liquid.,0
Indium has the symbol As.,0
Rhenium has the atomic number of 60.,0
Tin is in the Transition metal group.,0
Gallium has the symbol Ga.,1
Antimony is in the Metalloid group.,1
Zirconium is in the Transition metal group.,1
Uranium has the atomic number of 92.,1
Titanium has the atomic number of 49.,0
Technetium is in the Lanthanide group.,0
Europium has the symbol Eu.,1
Hydrogen is the most abundant element in the universe.,1
Chlorine has the symbol Cl.,1
Rhenium has the atomic number of 75.,1
Palladium has the symbol Nd.,0
Sodium appears in its standard state as Solid.,1
Rubidium has the symbol Kr.,0
Iridium appears in its standard state as Solid.,1
Promethium has the atomic number of 60.,0
Nickel has the atomic number of 8.,0
Nickel appears in its standard state as Gas.,0
Argon is in the Lanthanide group.,0
Praseodymium appears in its standard state as Gas.,0
"Lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",1
Zinc has the symbol Fr.,0
Actinium is used in magnets and lasers.,0
Cerium is in the Noble gas group.,0
Neodymium is in the Lanthanide group.,1
Sodium has the symbol Lu.,0
Francium appears in its standard state as Gas.,0
Palladium appears in its standard state as Gas.,0
Niobium has the atomic number of 41.,1
Francium has the symbol Fr.,1
Selenium has the symbol Se.,1
Francium has the atomic number of 61.,0
Silver has the symbol Ag.,1
Uranium is a radioactive element used as fuel in nuclear reactors and in the production of atomic weapons.,1
Krypton has the atomic number of 86.,0
Potassium is essential for muscle and nerve function and is highly reactive with water.,1
Potassium has the symbol Al.,0
Dysprosium appears in its standard state as Solid.,1
Gold is in the Transition metal group.,1
Bromine appears in its standard state as Liquid.,1
Uranium is in the Transition metal group.,0
Selenium has the atomic number of 60.,0
Rhenium is in the Halogen group.,0
Krypton appears in its standard state as Gas.,1
Palladium is a liquid at room temperature and used in thermometers and some electrical switches.,0
Niobium is in the Lanthanide group.,0
Oxygen is necessary for aerobic respiration in living organisms.,1
Astatine appears in its standard state as Solid.,1
"Strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",1
Arsenic is in the Metalloid group.,1
Technetium is the lightest radioactive element and is used in medical imaging.,1
Erbium has the atomic number of 41.,0
Potassium has the atomic number of 19.,1
Hafnium appears in its standard state as Gas.,0
Xenon is used in nuclear reactors due to its low neutron absorption.,0
Astatine appears in its standard state as Gas.,0
Aluminum is used in MRI contrast agents and X-ray tubes.,0
