statement,label
Morgan Stanley has headquarters in the United States.,1
Morgan Stanley doesn't have headquarters in the United States.,0
Cathay Financial operates in the industry of Chemicals.,0
Cathay Financial doesn't operate in the industry of Chemicals.,1
Generali Group has headquarters in Switzerland.,0
Generali Group doesn't have headquarters in Switzerland.,1
AT&T operates in the industry of Trading Companies.,0
AT&T doesn't operate in the industry of Trading Companies.,1
Poly Developments & Holdings Group has headquarters in China.,1
Poly Developments & Holdings Group doesn't have headquarters in China.,0
Ping An Insurance (Group) Company of China engages in the provision of financial products and services.,1
Ping An Insurance (Group) Company of China doesn't engage in the provision of financial products and services.,0
Sumitomo Mitsui Financial has headquarters in China.,0
Sumitomo Mitsui Financial doesn't have headquarters in China.,1
Manulife operates in the industry of insurance.,1
Manulife doesn't operate in the industry of insurance.,0
"China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.",1
"China Petroleum & Chemical doesn't engage in the exploration, development and production of crude oil and natural gas.",0
National Australia Bank operates in the industry of banking.,1
National Australia Bank doesn't operate in the industry of banking.,0
PepsiCo has headquarters in the United States.,1
PepsiCo doesn't have headquarters in the United States.,0
Lloyds Banking Group operates in the industry of banking.,1
Lloyds Banking Group doesn't operate in the industry of banking.,0
Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles.,1
Bayerische Motoren Werke (BMW) doesn't engage in the manufacture and sale of automobiles and motorcycles.,0
"Telefonica engages in the provision of communication, information and entertainment solutions.",1
"Telefonica doesn't engage in the provision of communication, information and entertainment solutions.",0
BASF engages in the provision of chemical products.,1
BASF doesn't engage in the provision of chemical products.,0
KDDI operates in the industry of Materials.,0
It's not true that KDDI operates in the industry of Materials.,1
Lowe's engages in the provision of telecommunication services.,0
It's not true that Lowe's engages in the provision of telecommunication services.,1
KDDI has headquarters in India.,0
KDDI doesn't have headquarters in India.,1
"Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",0
"It's not true that Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",1
"BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",1
"BHP Group doesn't engage in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",0
Charter Communications operates in the industry of Oil & Gas Operations.,0
It's not true that Charter Communications operates in the industry of Oil & Gas Operations.,1
