statement,label
"Sukhumi is located in the region of Abkhazia, Georgia.",1
Sukhumis are a people of Abkazia.,0
Soukhumis live in the city of Sukhumbi.,0
"There are about 100,000 Sukhummis in the world.",0
Vientiane is located in Laos.,1
Vientianne is a French name.,1
Vien is a German name.,0
Vien is also a French surname.,1
Marigot is located in the Caribbean.,1
Marigny is a neighborhood of New Orleans.,1
Marjory is a girl's name.,1
Marijuanas are a type of marijuana.,0
"Marley is a boy's name, and Marley Marl is a musician.",1
Marlboro is a brand of cigarettes.,1
Marlin is a fish.,1
Marlon is a man's name and Marlon Brando is an actor.,1
Maroon is a color.,1
Marrow is a bone.,1
Marry is a woman's name (and a surname).,1
Marry me is a proposal.,1
Marzipan is a type or pastry.,1
Marzia is a nickname for Marzio.,0
Marzo is a month.,1
Marzan is a city in Morocco.,0
Georgetown is located in the state of Texas.,1
"Georgetown has a population of about 7,000.",0
Georgetown was founded in 1836.,0
Georgetown was named after the Duke of Georgetown.,0
The Duke of Edinburgh was the first Duke of the United Kingdom.,0
The city of Georgetown was founded by the Duke.,0
The city of Austin is located near Georgetown.,1
Austin is the capital of the state.,1
"Austin has a total population of 1,000,000 people.",1
Austin is the largest city in the United States.,0
"Austin was founded on March 2, 1835.",0
"Austin's population is about 1,500,000 residents.",0
Geoffrey Austin was the founder of Austin.,0
Austin founded the city of Houston.,0
Sofia is located in Bulgaria.,1
Sofía is a Spanish feminine given name.,1
Rabat is located in Morocco.,1
Rabah is a male given name.,1
Rabah is the Arabic form of the Hebrew name Reuben.,0
Rabih is a given name of Arabic origin.,1
"Rabiah is a female given name, and Rabiah means ""the one who is like the sun"".",0
Rabiah al-Adawiyya is a famous Moroccan poet.,0
Rabia is a common female given names.,1
Rabiat is a surname.,1
Rabie is a masculine given name and Rabieh is a feminine given name in Arabic.,1
"Rabit is a Hebrew given name meaning ""the son of"".",0
"Rabit means ""son of"" in Hebrew.",0
"Rabitha is a Jewish given name that means ""beloved"".",0
Rabith is a Biblical name.,0
Canberra is located in Australia.,1
Monaco is located in the French Riviera.,1
"Monaco has a population of about 34,000 people.",1
Monte Carlo is the capital of Monaco.,0
Belgrade is located in Serbia.,1
Serbia is a country.,1
Belgrado is a part of Serbia.,1
Paris is located in France.,1
"Palikir is located in the province of South Sulawesi, Indonesia.",0
"The population of Palikiri is about 300,000 people.",0
Palikiri has a population of about 300 thousand people.,0
Ashgabat is located in Turkmenistan.,1
"Ashagabat has a population of 1,890,000.",0
"Ashgabad is a city in Turkestan, the capital of Turkmenbashi Province, Turkmen Republic.",0
"Ashagabad is the capital city of Turkestany, the Turkmen name for Turkmenabat.",0
Tokyo is located in Japan.,1
Bandar Seri Begawan is located in Brunei Darussalam.,1
"Bandarseri Begawan has a population of about 1,000,000.",0
Banderseri Begawa is the capital of Brunei.,1
Bander Seri Begalawa is a city in Bruneian.,0
Bandara Seri Besar Begawan Airport is located near Bandar seri Begawa.,1
Bandaran Seri Berjaya is a famous hotel in Bandar Berjaja.,0
Bandari Begawan Hotel is located at Bandar Begawan.,0
Bandaru Besar is a popular hotel in Bruneia.,0
Bandaro Hotel is a hotel in bandar Seribu.,0
Bandarto Hotel is the hotel in Banda.,0
Bandarta Hotel is in Bandara.,0
Willemstad is located in the Caribbean island of Curaçao.,1
Willemsstad is the capital of Curacao.,1
Lima is located in Peru.,1
"Lima has a population of 1,890,000.",0
Lima's official language is Spanish.,1
Lima was founded in 1535.,1
Lima became the capital of Peru in 1540.,0
Lima had a population in the year 2000 of 1.890.000.,0
Lima's climate is tropical.,0
Lima gets an average of 1 hour of sunshine per day.,0
Lima receives an average rainfall of 1 inch per year.,0
Lima experiences an average temperature of 82 degrees Fahrenheit.,0
Lima does not experience an average snowfall.,1
Lima averages an average humidity of 73%.,0
Lima's average wind speed is 7 miles per hour.,0
"Lima sees an average number of days with precipitation of 1 inches per year, with an average total of 1 month of precipitation.",0
Manama is located in the Kingdom of Bahrain.,1
Manama was founded in the year 1820.,0
Manamas is the second largest city in the Middle East.,0
Malé is located in the Maldives.,1
"Malé, the capital of the Maldivian Republic, is the largest city in the country and the second largest in the Indian Ocean.",0
"Pierre is located in the province of Quebec, Canada.",1
"St.Pierre is a city in the Canadian province of Québec, located in Montérégie.",0
"St-Pierre is the largest city in Monteregie, the second largest in Quebec, and the third largest in Canada.",0
Baghdad is located in Iraq.,1
Baghdad isn't the capital.,0
Lilongwe is located in Malawi.,1
