statement,label
"CITIC operates in the industry of Banking, and Hyundai Motor doesn't have headquarters in South Korea.",0
"Brookfield Asset Management operates in the industry of Consumer Durables, and PNC Financial Services doesn't operate in the industry of banking.",0
"Univlever engages in the provision of banking and financial solutions, and SoftBank doesn't operate in the industry of telecommunications services.",0
"Chevron operates in the industry of Banking, and Deutsche Telekom doesn't have headquarters in Germany.",0
"Shanghai Pudong Development Bank provides banking and financial services, and Prudential Financial doesn't have headquarters in United States.",0
"Stellantis doesn't operate in the industry of Food, Drink & Tobacco, and American Express has headquarters in France.",0
"Bristol Myers Squibb engages in the discovery, development, licensing, manufacture, marketing, distribution and sale of biopharmaceutical products, and Postal Savings Bank of China doesn't operate in the industry of banking.",0
"Agricultural Bank of China operates in the industry of Food, Drink & Tobacco, and Pfizer operates in the industry of insurance.",0
"Mitsui doesn't engage in the designing, manufacturing, and selling of cars, trucks and automobile parts, and Intesa Sanpaolo doesn't operate as a financial holding company that engages in the provision of financial products and services.",1
"Saudi Arabian Oil Company (Saudi Aramco) doesn't have headquarters in Saudi Arabia, and The Home Depot operates in the industry of retailing.",0
"Prudential Financial engages in the provision of financial products and services including life insurance, annuities, mutual funds, and investment management to both individual and institutional customers, and Prudential Financial doesn't operate in the industry of diversified financials.",0
"National Australia Bank engages in the provision of banking and financial services, and Truist Financial has headquarters in United Kingdom.",0
"Shanghai Pudong Development Bank provides banking and financial services, and ENGIE operates in the industry of oil & gas operations.",1
"Mitsubishi UFJ Financial Group doesn't have headquarters in Japan, and Itau Unibanco Holding has headquarters in China.",0
"Accenture doesn't operate in the industry of it software & services, and China Life Insurance doesn't have headquarters in China.",0
"Cathay Financial doesn't have headquarters in Taiwan, and Dow doesn't have headquarters in Italy.",0
"UnitedHealth Group doesn't have headquarters in United States, and Visa operates in the industry of business services & supplies.",0
"Stellantis has headquarters in Netherlands, and Alibaba Group doesn't engage in providing online and mobile marketplaces in retail and wholesale trade.",0
"Enbridge doesn't have headquarters in United States, and Toronto-Dominion Bank doesn't operate in the industry of banking.",0
"Munich Reinsurance doesn't operate in the industry of insurance, and Goldman Sachs Group has headquarters in United States.",0
"Verizon Communications doesn't have headquarters in Japan, and Ping An Insurance (Group) Company of China has headquarters in France.",0
"PepsiCo operates in the industry of food, drink & tobacco, and The Home Depot doesn't operate in the industry of retailing.",0
"Generali Group doesn't have headquarters in Italy, and Hon Hai Precision doesn't operate in the industry of technology hardware & equipment.",0
"The Home Depot isn't the world's largest home improvement specialty retailer, and General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",0
"KDDI has headquarters in India, and Target isn't a holding company, which engages in the provision of financial services.",0
"Nestle has headquarters in Switzerland, and It's not true that Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",1
"AXA has headquarters in France, and Chubb doesn't have headquarters in China.",1
"Nestle doesn't have headquarters in Switzerland, and Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",0
"Bank of China doesn't engage in the exploration, development, production and sale of crude oil & gas. It doesn't involve in refining, transportation, and sale of petroleum products, and SAP operates in the industry of it software & services.",1
"Truist Financial operates as a financial holding company, which engages in the provision of banking services to individuals, businesses and municipalities, and Deutsche Post operates in the industry of transportation.",1
"Oracle doesn't operate in the industry of Consumer Durables, and Chevron doesn't have headquarters in Germany.",1
"Cisco Systems doesn't have headquarters in Japan, and Merck & Co. has headquarters in Drugs & Biotechnology.",0
"Volkswagen Group doesn't engage in the production and sale of passenger cars and light commercial vehicles, and Sberbank doesn't have headquarters in Russia.",0
"Wells Fargo doesn't operate in the industry of banking, and BHP Group has headquarters in Australia.",0
"Bank of China doesn't engage in the provision of banking and financial services, and Rio Tinto has headquarters in France.",0
"SAP operates in the industry of it software & services, and HSBC Holdings isn't a health care services company, it doesn't engage in operating hospitals, freestanding surgery centers and emergency rooms, and urgent care centers.",1
"Intesa Sanpaolo operates as a financial holding company that engages in the provision of financial products and services, and SoftBank operates in the industry of telecommunications services.",0
"KDDI engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals, and ENGIE has headquarters in United States.",0
"BlackRock doesn't engage in providing investment management, risk management, and advisory services for institutional and retail clients worldwide, and It's not true that Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service.",0
"Oracle has headquarters in United States, and National Australia Bank doesn't operate in the industry of banking.",0
"VINCI operates in the industry of Insurance, and Walgreens has headquarters in United States.",0
"Bank of China engages in the provision of banking and financial services, and Anglo American isn't a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.",0
"Alibaba Group doesn't have headquarters in China, and CNOOC has headquarters in Hong Kong.",0
"Siemens operates in the industry of conglomerates, and Exxon Mobil doesn't have headquarters in United States.",0
"Capital One operates in the industry of banking, and ANZ operates in the industry of Semiconductors.",0
"Toronto-Dominion Bank operates in the industry of banking, and LukOil has headquarters in China.",0
"Bank of China engages in the exploration, development, production and sale of crude oil & gas. It also involves in refining, transportation, and sale of petroleum products, and Exxon Mobil doesn't operate in the industry of Household & Personal Products.",0
"Siemens engages in property development, commodity residential building distribution, and property management, and Credit Agricole doesn't have headquarters in Australia.",0
"Airbus Group doesn't engage in the design, manufacture, delivery and provision of aerospace products, space and related services, and Goldman Sachs Group operates in the industry of diversified financials.",0
"Dell Technologies has headquarters in France, and Dell Technologies doesn't operate in the industry of Media.",0
"JPMorgan Chase doesn't operate as a holding company that engages in the management of its group companies, and Alibaba Group doesn't operate in the industry of retailing.",0
"Costco Wholesale doesn't engage in the operation of membership warehouses, and Chevron doesn't have headquarters in Germany.",0
"BNP Paribas has headquarters in China, and Mitsui engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",0
"Chevron has headquarters in Germany, and Sumitomo Mitsui Financial has headquarters in China.",0
"Cathay Financial has headquarters in Taiwan, and Linde doesn't have headquarters in United States.",1
"Visa engages in the provision of insurance and investment advisory services, and Nestle engages in the production and distribution of cars, trucks and vans.",0
"The Home Depot engages in the provision of telecommunication and information technology services, and Rio Tinto doesn't operate in the industry of materials.",0
"Deutsche Telekom doesn't have headquarters in Germany, and British American Tobacco operates as a global financial services company.",0
"The Home Depot is the world's largest home improvement specialty retailer, and Sumitomo Mitsui Financial doesn't operate in the industry of banking.",0
"PepsiCo operates in the industry of food, drink & tobacco, and Lockheed Martin has headquarters in Ireland.",0
"Sberbank doesn't operate in the industry of banking, and Bank of America doesn't operate in the industry of Aerospace & Defense.",0
"BlackRock engages in providing investment management, risk management, and advisory services for institutional and retail clients worldwide, and Ford Motor engages in the manufacture, distribution and sale of automobiles.",1
"Bank of Nova Scotia doesn't have headquarters in Canada, and Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles.",0
"HSBC Holdings doesn't have headquarters in United Kingdom, and Verizon Communications engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals.",0
"Sberbank provides commercial banking and financial services, and Broadcom doesn't engage in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",1
"BHP Group doesn't have headquarters in Australia, and Stellantis doesn't have headquarters in Netherlands.",0
"Sberbank operates in the industry of banking, and KDDI doesn't have headquarters in India.",1
"Tencent Holdings doesn't operate in the industry of it software & services, and Samsung Group doesn't have headquarters in South Korea.",0
"Exxon Mobil operates in the industry of Household & Personal Products, and Bank of China has headquarters in China.",0
"Caterpillar has headquarters in Rome, and State Bank of India operates in the industry of Oil & Gas Operations.",0
"Cathay Financial doesn't operate in the industry of Chemicals, and Target is a holding company, which engages in the provision of financial services.",0
"Hitachi doesn't have headquarters in Japan, and China Shenhua Energy doesn't have headquarters in China.",0
"Ford Motor doesn't have headquarters in United States, and China Vanke has headquarters in Australia.",0
"Poly Developments & Holdings Group doesn't operate as a holding company that engages in the provision of insurance and asset management services, and Pfizer operates in the industry of insurance.",0
"Deere & Company doesn't have headquarters in United States, and Nestle has headquarters in Switzerland.",0
"Barclays doesn't operate in the industry of banking, and Micron Technology doesn't have headquarters in United States.",0
"Sberbank doesn't operate in the industry of banking, and Lockheed Martin engages in the manufacture, distribution and sale of automobiles.",0
"Capital One operates as a financial holding company that engages in the provision of financial products and services, and SK Hynix doesn't operate in the industry of Conglomerates.",1
"America Movil doesn't have headquarters in Switzerland, and Nestle doesn't engage in the production and distribution of cars, trucks and vans.",1
"GlaxoSmithKline is a holding company that engages in the provision of financial management solutions, and SK Hynix doesn't operate in the industry of semiconductors.",0
"FedEx has headquarters in United States, and Pfizer has headquarters in United States.",1
"It's not true that Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service, and Pfizer doesn't have headquarters in United States.",0
"China Telecom engages in the provision of telecommunication services, and MetLife doesn't operate in the industry of insurance.",0
"Mitsui engages in the designing, manufacturing, and selling of cars, trucks and automobile parts, and Merck & Co. doesn't have headquarters in Drugs & Biotechnology.",0
"Cathay Financial doesn't engage in the provision of financial services, and Nestle engages in the production and distribution of cars, trucks and vans.",0
"Thermo Fisher Scientific doesn't operate in the industry of healthcare equipment & services, and Poly Developments & Holdings Group engages in property development, commodity residential building distribution, and property management.",0
"KDDI engages in the exploration, production, refining and sale of oil, gas, electricity and chemicals, and PNC Financial Services has headquarters in United States.",0
"Chevron operates in the industry of oil & gas operations, and Citigroup isn't a holding company that engages in the provision of financial products and services.",0
"It's not true that HDFC Bank operates in the industry of Banking, and Enbridge operates in the industry of Insurance.",0
"Brookfield Asset Management operates in the industry of Consumer Durables, and Nippon Telegraph & Telephone doesn't engage in the provision of banking and financial services.",0
